id,claim,source_title,source_url,source_mode,source_type,date,author_org,evidence_quote_or_paraphrase,confidence,conflicts,notes,used_in_final,topic_id,source_id,change_id
E1,"R&D Lab OS is currently framed as a portable research operating layer, not a model-training system.","README.md","README.md:3",internal_doc,local_file,2026-06-24,Heurema,"README says: 'R&D Lab OS is a portable research operating layer for projects.' It also says the repo is not a model-training project.",high,"","Supports keeping idea lab artifact-first instead of ML/backend-first.",true,portable-lab-product,project-readme,
E2,"The toolkit supports both repo-local and project-local modes, with project-local state under .heurema/rdlab.","README.md","README.md:10",internal_doc,local_file,2026-06-24,Heurema,"README describes repo-local mode under runs/ and project-local mode under .heurema/rdlab/.",high,"","Justifies dogfooding project-local mode inside this repo.",true,portable-lab-product,project-readme,
E3,"The evidence ledger is the source of truth, while the final memo is derivative.","README.md","README.md:82",internal_doc,local_file,2026-06-24,Heurema,"README states: 'The final memo is not the source of truth. The evidence ledger is.'",high,"","Constrains idea discussion to ledger-backed claims.",true,idea-discovery,project-readme,
E4,"Agent instructions require filling artifacts in order and adding ledger claims before synthesis.","AGENTS.md","AGENTS.md:9",internal_doc,local_file,2026-06-24,Heurema,"AGENTS.md says to create/update a run folder, fill artifacts in order, avoid final memo before evidence, add claims to ledger before synthesizing, and run validate_run.py.",high,"","Defines how this run should be operated.",true,idea-discovery,agent-instructions,
E5,"Project-local work should read providers.toml and use provider_router.py when a second provider or critic pass is needed.","AGENTS.md","AGENTS.md:17",internal_doc,local_file,2026-06-24,Heurema,"AGENTS.md says to read rdlab.toml, sources.toml, topics.toml, and providers.toml, and to use scripts/provider_router.py for subscription-only provider selection when a second provider/critic pass is needed.",high,"","Supports multi-provider discussion rather than a single-agent pass.",true,provider-debate,agent-instructions,
E6,"The portable project layer explicitly includes providers.toml plus ideas and experiments directories.","docs/06-portable-project-layer.md","docs/06-portable-project-layer.md:30",internal_doc,local_file,2026-06-24,Heurema,"The documented project structure includes rdlab.toml, sources.toml, topics.toml, providers.toml, runs, memory, watch, decisions, ideas, and experiments.",high,"","Supports using this lab for idea discovery and experiment planning.",true,idea-discovery,portable-project-layer-doc,
E7,"The project-lab template already has idea, experiment, and memory update artifacts.","docs/06-portable-project-layer.md","docs/06-portable-project-layer.md:69",internal_doc,local_file,2026-06-24,Heurema,"Docs say the project-lab template extends legacy runs with change tracking, ideas, experiments, and explicit memory update artifacts.",high,"","Avoids creating new heavy structures before testing existing artifacts.",true,idea-discovery,portable-project-layer-doc,
E8,"The subscription provider router is designed to read providers.toml and shell out to local CLI tools without API-key provider flows.","docs/06-portable-project-layer.md","docs/06-portable-project-layer.md:116",internal_doc,local_file,2026-06-24,Heurema,"Docs say the router reads .heurema/rdlab/providers.toml, does not store secrets, does not use API-key provider flows, and shells out to configured local CLI tools.",high,"","Supports subscription-only debate for idea critique.",true,provider-debate,portable-project-layer-doc,
E9,"The first source snapshot checked 8 watched sources successfully and skipped 1 unwatched source.","snapshot 20260624T051742518067Z",".heurema/rdlab/watch/snapshots/20260624T051742518067Z.json",internal_doc,json_snapshot,2026-06-24,Heurema,"Snapshot JSON reports sources_checked=8, sources_skipped=1, and status ok for local files plus GitHub README and OpenAI Codex skills URL.",high,"","Confirms external source pass and local source pass completed.",true,source-watching,,
E10,"The provider router probe found four usable subscription provider routes for this project lab.","provider_router.py doctor --probe","terminal output",unknown,provider_probe,2026-06-24,local_cli,"doctor --probe returned ok for claude-sonnet, claude-haiku, vibe-default, and agy-default.",high,"Gemini and opencode were previously blocked in local checks and are disabled by default.","Supports independent provider critique in this run.",true,provider-debate,,
E11,"Vibe suggested practical next ideas including code-to-idea extraction, discussion import, lab-to-lab idea bridge, pipeline report, and quick scout mode.","Vibe provider output","provider_router.py run --provider-id vibe-default",unknown,provider_output,2026-06-24,Mistral Vibe,"Vibe proposed five ideas and warned about false positives, loss of conversational nuance, privacy boundaries, UI creep, and skipping deep research.",medium,"Provider output is not authoritative evidence; it is an ideation signal.","Used as candidate idea input only.",true,idea-discovery,,
E12,"Agy critic prioritized idea ledger, adversarial provider debate, and scorecards; deferred semantic evolution tracking; stopped vector DB clustering.","Agy provider output","provider_router.py run --provider-id agy-default",unknown,provider_output,2026-06-24,Agy,"Agy marked Hypothesis/Idea Ledger, Adversarial Provider Debate, and Idea Triage Scorecards as KEEP; Git diff evolution as DEFER; semantic clustering/vector DB as STOP.",medium,"Provider output is not authoritative evidence; it is critic signal.","Used to triage ideas and experiments.",true,idea-discovery,,
